state_0,probability
864,0.000422049577259594
279,0.00042137162953372964
248,0.005962231613545824
548,0.0003835014695669469
1258,0.005841895892204902
154,0.00037052555009390323
1087,0.0003623020441791686
695,0.0005628728788761373
477,0.0005612729222430975
588,0.00034408558878519345
955,2.178923990928029e-05
591,4.745634081050467e-08
925,4.745634081050467e-08
709,5.42358180691482e-08
992,6.101529532779172e-08
922,4.745634081050467e-08
748,4.7456340810504676e-07
1062,0.010074811667138677
508,2.3490888701199813e-05
385,2.3667155109924547e-05
911,3.690069471879671e-05
455,3.692781262783128e-05
494,3.690069471879671e-05
431,3.6914253673313996e-05
291,2.3741729359769624e-05
64,5.917805699069933e-05
968,0.023609041430863453
778,1.6948693146608811e-07
849,0.00046302473781083546
808,0.0004601773573622052
223,0.00045958754284070323
621,0.0004602112547484984
547,0.0004596960144768415
405,0.00046132986849617457
403,0.00046010956258961877
783,0.0004615468117684512
206,0.0004623061132214193
415,0.00034531267416900796
244,0.00046238746694852296
386,0.000390518228529643
557,0.0006977234610278157
4,0.011575638783702663
958,8.813320436236583e-08
1223,0.02244550008739424
603,0.00658353680691421
749,0.006583401217369037
151,0.006028534901135358
1133,2.233159808997177e-05
288,3.084662152682804e-06
885,1.7355461782127424e-06
1185,2.1931608931711804e-05
746,3.7490509240298694e-06
1194,3.864302037426809e-07
947,1.0169215887965287e-07
946,1.0169215887965287e-07
945,1.0169215887965287e-07
1156,1.627074542074446e-07
377,1.627074542074446e-07
582,4.881223626223338e-07
996,3.593122947081068e-07
537,4.6100445358775973e-07
513,8.948909981409453e-07
1057,1.627074542074446e-07
727,3.782948310323087e-06
1038,3.728712492253939e-07
567,4.982915785102991e-06
1093,2.0338431775930575e-07
888,9.016704753995889e-07
1030,2.915175221216716e-07
590,3.728712492253939e-07
1204,3.1863543115624565e-07
1178,1.0169215887965287e-07
1179,5.287992261741949e-07
1210,1.0033626342792418e-06
929,4.067686355186115e-07
761,9.965831570205983e-07
1233,2.779585676043845e-07
1145,3.796507264840374e-07
404,8.609936118477277e-07
581,3.3219438567353274e-07
345,2.5762013582845393e-07
792,1.783002519023247e-06
316,3.728712492253939e-07
816,3.728712492253939e-07
1010,3.99989158259968e-07
1084,2.915175221216716e-07
859,2.915175221216716e-07
838,3.6609177196675034e-07
680,1.0169215887965287e-07
943,3.3897386293217623e-07
1001,2.982969993803151e-07
1132,2.71179090345741e-07
740,3.728712492253939e-07
779,2.71179090345741e-07
624,3.593122947081068e-07
418,3.3219438567353274e-07
595,3.3897386293217623e-07
717,3.4575334019081977e-07
1187,3.796507264840374e-07
940,1.0169215887965287e-07
766,3.254149084148892e-07
896,3.4575334019081977e-07
1166,3.796507264840374e-07
458,3.728712492253939e-07
873,4.542249763291162e-07
289,7.864193620026489e-07
771,2.982969993803151e-07
1106,2.3728170405252338e-07
585,5.287992261741949e-07
666,1.0169215887965287e-07
932,8.13537271037223e-07
814,3.864302037426809e-07
1075,2.915175221216716e-07
776,2.915175221216716e-07
